t (s),V (mV)
0,25.2886
1.049,25.2619
2.082,25.2222
3.082,25.1877
4.081,25.1535
5.081,25.1173
6.082,25.0807
7.081,25.0444
8.082,25.008
9.081,24.971
10.082,24.9358
11.082,24.8992
12.081,24.8633
13.082,24.8276
14.081,24.7925
15.082,24.7551
16.081,24.7201
17.082,24.6837
18.082,24.6484
19.081,24.6159
20.082,24.5791
21.081,24.545
22.081,24.5111
23.082,24.4751
24.081,24.441
25.082,24.4058
26.081,24.37
27.082,24.336
28.082,24.3023
29.081,24.2679
30.081,24.2333
31.085,24.1944
32.082,24.1636
33.082,24.1291
34.082,24.0945
35.082,24.0599
36.081,24.0261
37.081,23.9907
38.082,23.9581
39.082,23.924
40.081,23.8892
41.081,23.8553
42.082,23.8211
43.082,23.7866
44.081,23.752
45.081,23.7157
46.082,23.6853
47.081,23.6467
48.081,23.6162
49.081,23.5834
50.081,23.5489
51.082,23.5163
52.081,23.4829
53.081,23.4502
54.081,23.418
55.081,23.3849
56.082,23.3522
57.082,23.3201
58.081,23.2902
59.081,23.2556
60.081,23.22
61.082,23.1892
62.082,23.1586
63.082,23.1268
64.081,23.0945
65.081,23.0634
66.082,23.032
67.082,23.0009
68.081,22.9687
69.081,22.9384
70.082,22.9058
71.082,22.8746
72.082,22.8445
73.081,22.8114
74.081,22.7785
75.081,22.7468
76.081,22.7149
77.081,22.6843
78.081,22.6522
79.082,22.6221
80.082,22.59
81.081,22.5577
82.082,22.5264
83.081,22.4949
84.082,22.4637
85.082,22.4322
86.082,22.4006
87.081,22.3699
88.082,22.3377
89.082,22.3075
90.082,22.2761
91.081,22.2448
92.082,22.2139
93.082,22.1833
94.082,22.1512
95.081,22.1204
96.082,22.0899
97.081,22.0589
98.081,22.0283
99.081,21.9982
100.082,21.9681
101.082,21.9379
102.082,21.9077
103.082,21.8768
104.082,21.8451
105.081,21.8149
106.081,21.7853
107.082,21.7562
108.082,21.7251
109.082,21.6954
110.081,21.6652
111.082,21.6352
112.082,21.6067
113.082,21.5749
114.082,21.5443
115.081,21.5152
116.081,21.4859
117.082,21.4552
118.082,21.4252
119.082,21.3959
120.082,21.366
121.082,21.3353
122.081,21.3055
123.081,21.2751
124.081,21.2452
125.081,21.2143
126.081,21.1841
127.081,21.1536
128.082,21.1243
129.082,21.094
130.082,21.0631
131.082,21.0334
132.081,21.0041
133.081,20.9747
134.081,20.9455
135.082,20.918
136.082,20.8878
137.082,20.8588
138.082,20.8307
139.081,20.8028
140.081,20.7763
141.081,20.7495
142.081,20.7224
143.082,20.6928
144.082,20.6653
145.082,20.6383
146.082,20.6096
147.082,20.5813
148.082,20.5535
149.082,20.5267
150.081,20.4965
151.081,20.4665
152.081,20.4409
153.081,20.4116
154.081,20.3803
155.081,20.3519
156.082,20.3254
157.082,20.2971
158.082,20.2667
159.081,20.2379
160.081,20.2084
161.082,20.1812
162.082,20.1524
163.082,20.1244
164.082,20.0966
165.081,20.067
166.081,20.0412
167.082,20.0136
168.082,19.986
169.082,19.9585
170.081,19.9312
171.081,19.9035
172.082,19.877
173.082,19.85
174.081,19.8229
175.081,19.7963
176.081,19.7685
177.081,19.7426
178.081,19.7161
179.081,19.6894
180.081,19.6639
181.082,19.6372
182.082,19.6119
183.082,19.586
184.082,19.5593
185.082,19.5349
186.082,19.5091
187.082,19.482
188.082,19.455
189.082,19.4323
190.082,19.4053
191.082,19.3793
192.081,19.3525
193.082,19.3265
194.082,19.3001
195.082,19.273
196.082,19.2486
197.081,19.2214
